"","blog.txt","news.txt","twitter.txt"
"also tell",2,1,2
"also think",11,2,3
"also try",4,1,3
"also used",31,1,1
"also want",12,2,10
"also wanted",11,1,1
"also will",7,5,5
"also work",3,1,1
"also working",5,1,2
"also wrote",3,1,2
"although many",3,2,1
"although may",6,1,1
"although s",8,1,5
"always add",3,1,2
"always appreciated",1,1,1
"always ask",5,1,1
"always believed",1,1,1
"always done",2,1,1
"always found",7,1,2
"always full",4,1,1
"always going",9,2,1
"always good",16,2,39
"always hand",2,1,1
"always hold",2,1,3
"always included",1,2,1
"always just",3,1,1
"always keep",4,1,4
"always knew",5,1,3
"always know",9,1,4
"always made",5,1,2
"always one",12,2,12
"always open",2,1,3
"always part",5,1,2
"always play",1,1,3
"always remember",6,2,13
"always s",3,1,1
"always said",3,1,6
"always say",10,1,13
"always seem",3,1,5
"always seem find",1,1,1
"always seems",7,2,5
"always show",2,1,4
"always something",8,1,7
"always think",6,1,19
"always trying",2,2,5
"always want",8,1,6
"always will",14,3,5
"alzheimer s",10,3,1
"amazing go",1,1,1
"amazing just",2,1,2
"amazing m",1,1,8
"amazing place",1,1,2
"amazing see",4,1,3
"amendment rights",1,2,1
"america s",36,8,27
"american airlines",3,3,2
"american dream",4,2,6
"american flags",1,3,1
"american girl",5,1,2
"american idol",5,4,20
"american people",10,1,8
"american pie",1,1,2
"american way",3,2,3
"americans now",2,1,1
"americans will",2,1,1
"among best",2,2,1
"among first",2,4,1
"among many",10,2,1
"among others",13,3,1
"among things",7,3,1
"among top",3,2,2
"among us",7,1,3
"amount money",9,4,1
"amount time",23,4,8
"amount work",2,2,3
"amusement park",2,2,1
"amy s",1,1,1
"amy winehouse",4,1,9
"andrew s",2,4,2
"android s",1,1,1
"android tablet",1,1,3
"angeles county",3,1,1
"angelina jolie",2,2,5
"animated film",2,1,2
"ankle injury",1,1,1
"ann arbor",1,2,3
"ann s",3,1,1
"anna maria",1,1,1
"anne s",4,1,1
"annie s",1,2,2
"announced last",3,6,1
"announced today",5,2,2
"annual event",4,2,1
"annual meeting",3,3,7
"annual rate",2,1,1
"another big",2,3,2
"another chance",5,3,9
"another chapter",2,1,2
"another city",2,1,3
"another day",20,1,46
"another example",10,3,2
"another game",1,1,2
"another girl",4,2,2
"another go",5,1,4
"another goal",1,1,1
"another good",3,1,6
"another half",1,1,2
"another high",1,1,1
"another long",7,1,4
"another look",2,1,2
"another major",4,3,1
"another must",1,1,1
"another new",8,2,4
"another nice",2,1,1
"another one",56,2,27
"another option",2,1,1
"another part",3,1,2
"another reason",16,3,9
"another round",10,1,3
"another set",2,1,1
"another shot",4,2,4
"another small",4,2,1
"another source",2,1,1
"another star",1,1,2
"another state",1,2,3
"another team",1,1,1
"another time",10,1,4
"another way",15,2,6
"another week",9,1,7
"another winner",3,1,1
"another year",7,2,10
"answer phone",4,1,1
"answer question",18,1,11
"answer questions",14,2,11
"answer yes",3,1,6
"answering questions",5,2,4
"anti abortion",1,1,1
"anybody else",3,1,7
"anybody s",2,1,2
"anyear old",2,1,1
"anyone else",49,6,95
"anyone else like",1,1,1
"anyone ever",11,1,16
"anyone information",1,6,1
"anyone interested",4,1,16
"anyone s",15,3,17
"anyone think",2,2,3
"anyone trying",1,1,1
"anyone will",4,1,5
"anything can",12,2,14
"anything else",50,3,19
"anything goes",11,1,1
"anything help",4,1,2
"anything just",8,2,8
"anything like",21,3,13
"anything love",2,1,2
"anything made",1,1,1
"anything say",5,1,4
"anything wrong",10,1,2
"anything yet",3,1,7
"anytime re",1,1,1
"anytime soon",11,3,20
"anywhere else",9,3,4
"ap s",1,1,2
"apartment complex",6,2,3
"appears s",2,1,1
"apple pie",5,1,6
