"","blog.txt","news.txt","twitter.txt"
"another coworker",1,1,1
"another day",41,1,101
"another example",22,3,4
"another game",1,1,5
"another girl",8,2,3
"another go",7,1,5
"another goal",2,1,2
"another good",2,1,10
"another happy",1,1,2
"another issue",7,1,1
"another long",12,1,7
"another look",4,1,3
"another major",10,3,1
"another million",4,2,1
"another minutes",21,1,3
"another must",5,1,3
"another new",17,2,10
"another nice",3,1,1
"another one",92,2,50
"another option",5,1,2
"another part",12,1,3
"another player",2,1,2
"another reason",31,3,15
"another reminder",1,1,3
"another round",17,1,6
"another set",5,1,3
"another shot",5,2,6
"another small",5,1,1
"another source",5,1,1
"another state",5,2,6
"another team",1,1,2
"another time",20,1,11
"another top",1,1,1
"another way",37,2,10
"another week",17,1,10
"another winner",4,1,1
"another year",18,2,18
"answer dont",3,1,2
"answer first",3,1,1
"answer many",2,1,1
"answer phone",6,1,9
"answer question",44,1,22
"answer questions",32,2,17
"answer yes",7,1,16
"answering questions",11,2,6
"anybody ever",1,2,3
"anybody really",1,1,1
"anyone choose",3,1,1
"anyone else",104,6,201
"anyone else like",1,1,1
"anyone else want",1,1,2
"anyone ever",19,1,33
"anyone information",1,6,1
"anyone interested",11,1,24
"anyone think",7,2,11
"anyone time",2,1,1
"anyone trying",4,1,3
"anyone will",9,1,6
"anything away",4,1,3
"anything can",22,2,28
"anything else",89,3,42
"anything granted",1,1,1
"anything help",6,1,3
"anything just",21,2,15
"anything like",43,3,24
"anything love",4,1,2
"anything made",2,1,1
"anything said",1,1,1
"anything say",11,1,11
"anything without",1,1,7
"anything wrong",25,1,3
"anything yet",4,1,8
"anytime soon",12,3,33
"anyway want",1,1,1
"anywhere else",21,3,11
"anywhere without",6,1,1
"apartment complex",7,2,6
"apartment get",1,1,1
"app will",3,1,4
"apparently made",1,1,1
"appeals court",3,2,1
"appears like",2,1,2
"apple just",1,1,3
"apple pie",6,1,13
"appreciate fact",1,1,1
"appreciate way",1,1,1
"approval ratings",1,1,2
"apps like",1,1,1
"april day",1,1,2
"april may",7,1,5
"april pm",3,4,9
"april well",1,1,2
"arbor day",1,1,5
"arcade fire",2,1,1
"architecture design",2,1,2
"area code",1,1,4
"area including",2,2,1
"area like",4,2,1
"area need",4,1,1
"area will",6,1,4
"areas can",1,1,1
"areas will",4,1,1
"arent always",1,1,3
"arent exactly",2,1,1
"arent going",4,2,17
"arent good",1,1,6
"arent just",8,1,9
"arent many",3,1,4
"arizona state",2,5,5
"armed forces",17,1,6
"armed robbery",4,1,1
"armed services",2,1,1
"arms around",12,3,7
"army corps",1,2,1
"army corps engineers",1,2,1
"around basket",1,1,1
"around best",2,1,2
"around bit",7,1,2
"around car",2,1,2
"around country",13,1,1
"around downtown",3,1,1
"around especially",1,1,2
"around everyone",5,1,4
"around floor",2,1,2
"around globe",16,3,4
"around ive",2,1,1
"around just",11,1,5
"around last",2,1,4
"around league",1,1,2
"around like",27,1,14
"around live",2,1,1
"around midnight",3,1,3
"around much",16,1,2
"around naked",2,1,1
"around new",7,1,2
"around noon",1,1,4
"around pm",35,2,20
"around put",3,1,1
"around said",3,1,1
"around saying",4,1,3
"around second",1,1,1
"around see",16,1,7
"around stage",1,2,1
"around state",1,5,1
"around table",4,1,2
"around talking",1,1,2
"around thinking",3,1,1
"around time",38,2,12
"around town",17,3,16
"around will",12,1,1
"around world",94,11,35
"around world including",2,1,1
"around years",7,1,5
"arrest people",1,1,2
"arrested charged",3,3,1
"arrested people",1,2,2
"arrive early",4,1,6
"art center",3,1,5
"art culture",2,1,1
"art deco",6,1,2
"art galleries",7,1,2
"art gallery",7,2,13
"art life",2,2,3
"art museum",7,5,18
"art music",1,1,8
"art project",6,1,4
"art shows",2,1,1
"art supplies",5,1,3
"art works",3,1,1
"art world",6,1,4
"arthur conan",3,1,1
"article new",1,1,1
"artist will",1,2,2
"artistic director",2,3,2
"arts center",2,2,13
"arts crafts",10,4,4
"arts culture",2,2,2
"arts sciences",3,1,3
"asbury park",2,1,1
"ashes ashes",1,1,2
"ashes dust",1,1,1
"ashes dust dust",1,1,1
"ashton kutcher",2,2,5
"ask anyone",2,2,3
"ask dont",2,1,5
"ask dont tell",1,1,3
"ask long",2,1,1
"ask many",6,1,4
"ask new",3,1,2
"ask people",5,1,3
"ask question",19,2,15
"ask questions",37,2,26
"ask questions later",1,1,1
"ask us",3,2,9
"ask whether",7,1,1
"ask will",6,1,5
"asked call",1,2,1
"asked comment",1,1,1
"asked first",4,1,2
"asked follow",1,1,4
"asked help",7,3,5
"asked like",3,1,3
"asked question",25,2,8
"asked said",3,1,5
"asked three",1,1,1
"asked us",10,1,6
"asked wanted",14,1,9
"asked whether",9,3,2
"asking question",3,1,9
"asking questions",10,1,8
"assembly line",4,1,4
"assistant director",1,1,2
"associated press",13,13,3
"associates degree",3,1,1
"atlantic city",1,11,8
"attack mode",1,1,1
"attempt get",7,1,2
"attempt one",1,1,1
"attempted murder",8,3,2
"attempting make",3,1,2
"attend college",2,1,1
"attend meeting",5,1,2
"attend school",7,1,1
"attended meeting",1,1,1
"attendees will",5,1,1
"attention back",1,1,1
"attention detail",8,1,5
"attention people",3,1,1
"attention will",1,1,1
"attention youre",1,1,1
"attitude era",2,1,1
"attorney general",12,6,2
"auburn hills",1,2,1
"auction will",1,1,1
"audio recordings",1,1,1
