"","blog.txt","news.txt","twitter.txt"
"16 days",1,1,2
"16 for",1,1,2
"16 million",1,5,2
"16 year",9,3,5
"16 year old",7,3,5
"16 years",5,3,3
"17 and",3,1,3
"17 in",1,1,1
"17 million",1,6,4
"17 months",1,1,1
"17 that",1,1,1
"17 year",8,8,3
"17 year old",8,8,3
"17 years",8,2,4
"17th street",1,1,1
"18 months",10,4,2
"18 of",1,5,2
"18 of the",1,3,2
"18 points",1,3,1
"18 year",8,3,4
"18 year old",7,2,3
"18th century",6,1,1
"18th in",1,3,2
"19 million",1,1,1
"19 of",1,3,2
"19 year",8,7,1
"19 year old",6,6,1
"19 years",4,2,5
"1960s and",4,1,1
"1982 the",1,1,1
"19th and",2,1,1
"19th century",22,3,7
"2 a",3,1,3
"20 a",3,1,1
"20 and",5,3,4
"20 days",1,2,3
"20 feet",1,3,1
"20 for",1,3,3
"20 in",2,1,3
"20 million",2,5,2
"20 minutes",38,3,29
"20 or",3,1,1
"20 percent",1,10,3
"20 points",1,2,3
"20 season",5,2,1
"20 seconds",1,1,1
"20 somethings",1,1,1
"20 to",6,4,3
"20 when",1,1,1
"20 year",6,7,5
"20 years",26,8,22
"20 years ago",6,1,5
"20 years in",1,2,1
"200 million",2,3,3
"200 years",5,1,3
"2001 and",5,1,1
"2005 and",4,3,1
"2005 to",1,2,1
"2006 and",2,2,1
"2007 after",2,1,1
"2007 when",2,5,1
"2008 and",10,5,1
"2008 but",2,2,1
"2008 to",2,3,1
"2009 and",6,8,1
"2010 a",1,2,1
"2010 and",12,2,2
"2010 i",6,4,1
"2010 the",12,1,2
"2010 to",4,4,1
"2010 we",4,1,2
"2011 and",8,3,4
"2011 season",4,5,3
"2011 that",2,1,2
"2011 the",20,3,2
"2011 to",3,1,1
"2011 was",4,1,2
"2011 we",2,1,3
"2011 while",1,1,1
"2012 and",6,1,6
"2012 school",1,1,1
"2012 school year",1,1,1
"2012 that",1,1,1
"2012 the",9,2,2
"2012 to",2,1,4
"2012 was",3,1,2
"2012 what",1,1,1
"20s and",3,1,1
"20s and 30s",1,1,1
"20th century",29,2,3
"21 &",1,1,2
"21 and",5,5,2
"21 to",1,1,1
"21 year",4,2,1
"21 year old",3,1,1
"21st century",10,1,13
"22 a",1,2,1
"22 and",2,2,3
"22 of",2,1,2
"22 of the",1,1,1
"22 years",5,2,3
"24 and",4,3,1
"24 for",2,1,1
"24 hour",9,3,6
"24 hours",35,5,34
"24 hours a",8,1,1
"24 hours after",1,1,1
"24 hours of",2,1,4
"24 the",1,1,1
"25 and",3,2,3
"25 in",2,2,3
"25 minutes",12,1,4
"25 was",2,1,1
"25 year",4,3,1
"25 years",18,6,9
"25 years ago",2,1,2
"25 years of",1,1,1
"26 in",2,1,1
"26 year",2,3,1
"26 year old",2,3,1
"27 and",2,2,1
"27 year",1,4,1
"27 year old",1,4,1
"28 and",2,2,1
"28 days",2,1,1
"28 year",4,1,2
"28 year old",4,1,1
"29th and",1,1,1
"2nd annual",1,1,4
"3 at",1,1,1
"30 am",2,1,3
"30 and",2,2,2
"30 days",6,2,12
"30 days to",1,1,3
"30 in",2,1,2
"30 million",2,1,1
"30 minute",6,2,3
"30 minutes",40,3,23
"30 minutes of",1,1,3
"30 or",5,1,1
"30 people",2,1,1
"30 percent",1,3,1
"30 pm",4,3,6
"30 pounds",4,1,1
"30 seconds",23,1,10
"30 to",3,5,4
"30 year",4,4,3
"30 year fixed",1,1,1
"30 year old",2,1,1
"30 years",24,8,10
"30 years of",2,1,1
"300 million",2,1,1
"31 and",3,3,1
"31 to",1,2,1
"32 years",2,1,2
"33 year",1,2,1
"33 year old",1,1,1
"33 years",4,1,1
"34 years",2,2,2
"35 billion",2,1,1
"35 minutes",2,1,1
"35 year",2,1,1
"4 for",1,1,2
"4% of",1,1,1
"40 and",3,1,2
"40 days",2,2,4
"40 in",1,1,1
"40 minute",2,1,1
"40 minutes",8,1,5
"40 mph",1,1,2
"40 year",4,3,1
"40 year old",4,3,1
"40 years",22,1,5
"400 people",2,1,1
"43 million",1,1,2
"43 year",1,1,1
"43 year old",1,1,1
"43 years",2,1,1
"45 in",2,1,1
"45 min",1,1,5
"45 minutes",20,3,11
"45 seconds",4,1,2
"45 year",1,1,1
"45 year old",1,1,1
"45 years",3,1,1
"48 hours",14,2,2
"48 hours to",6,1,1
"4th of",5,1,21
"4th of july",5,1,21
"5 and",3,3,1
"5 at",2,1,1
"5 to",2,1,2
"50 and",2,1,4
"50 billion",2,1,1
"50 each",1,1,1
"50 people",2,1,5
"50 percent",3,9,3
"50 yards",1,2,2
"50 year",2,2,1
"50 year old",2,1,1
"50 years",8,5,5
"50 years ago",4,1,1
"50 years of",2,1,1
"50% of",3,1,5
"50% of the",2,1,1
"500 for",2,1,1
"500 people",1,2,1
"5000 in",1,2,1
"50th birthday",1,1,1
"51 and",2,1,3
"52 week",3,1,1
"6 the",5,1,2
"60 days",1,4,2
"60 minutes",7,1,8
"60 seconds",2,1,1
"60 to",4,1,4
"60 years",4,2,2
"65 million",1,4,1
"70 mph",1,1,1
"75 percent",3,4,1
"8 million",1,3,1
"83 year",1,1,1
"83 year old",1,1,1
"85 million",1,2,1
"90 days",3,3,1
"90 is",1,1,1
"90 percent",3,5,1
"90 percent of",2,1,1
"90 years",2,1,2
"90% of",10,1,9
"95% of",3,1,3
"a 1",5,3,6
"a 10",18,14,25
"a 10 year",2,5,1
"a 10%",4,1,1
"a 100",10,2,8
"a 1000",3,1,4
"a 10000",1,2,1
"a 12",7,5,12
"a 14",3,2,3
"a 15",5,7,7
"a 16",4,2,3
"a 16 year",1,1,2
"a 17",1,4,1
"a 19",2,4,1
"a 20",11,6,10
"a 2000",1,1,1
"a 2010",1,1,1
"a 2012",2,2,3
"a 21",2,3,1
"a 21 year",1,2,1
"a 22",2,5,2
"a 24",4,3,4
"a 24 hour",3,1,3
"a 25",5,1,6
"a 27",1,2,1
"a 27 year",1,1,1
"a 30",6,6,13
"a 32",2,1,3
"a 35",4,2,1
"a 4",1,1,2
"a 40",4,3,4
"a 45",3,1,4
"a 5",3,2,1
"a 50",6,2,7
"a 500",3,1,1
"a 52",1,1,1
"a 60",1,1,3
"a 75",2,3,2
"a a",12,3,14
"a and",10,3,21
"a b",8,1,16
"a baby",66,5,43
"a baby is",3,1,2
"a bachelor",4,2,2
"a back",12,4,8
"a back up",5,1,2
"a backlash",2,2,1
"a backup",1,3,6
"a bad",122,20,150
"a bad day",3,1,14
"a bad deal",1,1,1
"a bad idea",7,3,12
"a bad one",2,2,4
"a bad shot",1,1,1
"a bad thing",13,2,11
"a bag",29,4,14
"a bag of",14,4,9
"a bailout",1,1,1
"a ball",16,5,18
"a banana",10,1,4
"a band",30,5,23
"a bank",15,1,7
"a bar",17,5,19
"a bar that",1,1,1
"a barely",4,1,1
"a bargain",12,1,5
"a barrel",6,2,4
"a base",7,1,2
"a baseball",1,1,10
"a basic",12,3,4
"a basket",9,1,2
"a basketball",2,1,6
"a basketball game",1,1,1
"a bathroom",2,1,5
"a battle",10,3,5
"a battle with",1,1,1
"a bbq",4,1,6
"a beach",7,1,7
"a beacon",2,1,1
"a beacon of",1,1,1
"a beating",5,1,2
"a beautiful",94,5,149
"a beef",1,1,3
"a beer",49,1,37
"a beginning",7,1,3
"a beige",1,1,1
"a belated",1,1,2
"a belief",4,1,1
"a belief that",2,1,1
"a beloved",2,2,3
"a belt",2,1,3
"a bench",6,1,4
"a best",9,2,7
"a better",119,18,115
"a better job",5,2,5
"a better time",1,1,1
"a better understanding",7,1,2
"a better way",5,1,6
"a big",257,45,268
"a big city",3,1,1
"a big deal",17,1,13
"a big difference",2,2,1
"a big fan",9,1,28
"a big game",2,1,2
"a big heart",1,1,2
"a big part",8,1,2
"a bigger",10,7,20
"a bike",13,3,12
"a bill",11,11,9
"a bill to",1,1,1
"a biography",3,1,1
"a bit",704,31,198
"a bit for",2,1,1
"a bit from",3,1,2
"a bit in",2,1,1
"a bit like",15,1,2
"a bit more",78,4,8
"a bit much",3,1,1
"a bit of",189,6,28
"a bit to",7,2,3
"a bite",10,4,11
"a bitter",3,1,3
"a bizarre",1,1,2
"a black",58,13,26
"a blank",17,1,2
"a blend",5,1,1
"a blessing",20,3,12
"a block",9,3,10
"a block away",3,1,1
"a block of",1,1,1
"a blog",68,2,25
"a blog called",2,1,1
"a blond",3,1,1
"a blue",21,2,4
"a board",5,1,3
"a bold",5,4,2
"a bomb",5,1,6
"a bonus",14,1,5
"a bonus of",1,1,1
"a book",149,5,69
"a book about",14,1,4
"a book for",4,1,2
"a bookstore",3,1,3
"a boost",6,4,1
"a border",6,1,2
"a bottle",26,3,27
"a bowl",34,9,12
"a bowl of",7,2,8
"a box",34,2,24
"a boy",39,6,36
"a boy who",1,1,3
"a brain",6,1,6
"a brand",22,1,22
"a brand new",16,1,17
"a brave",3,1,3
"a break",56,3,61
"a break in",2,1,1
"a breakfast",3,1,5
"a breakthrough",1,2,2
"a breath",16,1,4
"a brick",5,4,6
"a brick wall",1,1,1
"a bridge",5,1,4
"a brief",32,5,6
"a bright",17,2,5
"a brighter",4,1,5
"a brilliant",18,2,8
"a british",11,1,3
"a broken",15,2,6
"a brother",3,1,6
"a brutal",5,2,4
"a bubble",3,3,6
"a budget",12,4,7
"a building",11,2,5
"a bullet",5,1,2
"a bunch",83,4,88
"a bunch of",76,4,67
"a burden",6,1,2
"a burned",2,1,1
"a burning",7,1,2
"a bus",15,3,19
"a bus to",2,1,2
"a business",30,7,35
"a business and",1,1,2
"a busy",19,4,22
"a busy weekend",1,1,2
"a busy woman",1,1,1
"a buyer",2,1,2
"a buzz",1,1,4
"a cab",7,1,10
"a cafe",5,1,1
"a cake",13,1,10
"a california",5,4,1
"a call",39,9,39
"a call and",1,1,2
"a call for",5,1,5
"a call from",6,2,2
"a call to",7,1,1
"a camera",15,2,11
"a campaign",9,3,7
"a can",9,1,9
"a can of",5,1,3
"a canadian",8,3,4
"a cancer",4,2,2
"a cap",1,1,2
"a car",61,9,66
"a car accident",3,1,4
"a car or",2,1,1
"a career",22,11,15
"a career in",5,1,1
"a carefully",2,1,1
"a carnival",1,1,2
"a case",27,12,11
"a case for",2,1,1
"a case of",9,2,6
"a cash",4,2,4
"a casino",1,2,4
"a cassette",2,1,1
"a cast",2,1,6
"a cast for",1,1,1
"a castle",3,1,2
"a casual",3,1,2
"a cat",19,1,24
"a catchy",5,1,1
"a catholic",9,3,1
"a cause",6,2,5
"a cd",5,2,10
"a ceiling",2,2,2
"a celebration",8,2,2
"a celebrity",2,3,6
"a cell",8,1,2
"a cemetery",1,1,1
"a central",8,1,2
"a ceo",1,1,2
"a ceremony",1,1,1
"a certain",107,4,19
"a certain amount",6,1,1
"a certified",6,1,5
"a chain",7,1,3
"a chair",8,3,9
"a chair and",2,2,1
"a challenge",32,4,8
"a challenge to",4,1,1
"a champion",3,3,4
"a chance",113,18,136
"a chance at",1,2,3
"a chance for",5,2,4
"a chance of",5,1,4
"a chance on",3,1,1
"a chance to",70,7,75
"a change",55,4,24
"a change in",17,3,3
"a chapter",11,1,2
"a character",40,2,4
"a charge",9,3,1
"a charity",7,1,5
"a chart",3,1,2
"a cheap",11,1,6
"a check",5,2,16
"a chef",5,2,1
"a chemical",7,1,1
"a chicago",2,2,4
"a chicago area",1,1,1
"a chicken",14,1,11
"a child",137,6,41
"a child is",6,1,2
"a chinese",13,1,4
"a chip",2,1,2
"a choice",20,2,14
"a choice to",1,2,1
"a choir",1,1,2
"a christian",25,1,7
"a christmas",14,3,7
"a church",22,1,1
"a circle",12,1,5
"a citizen",2,2,1
"a city",27,11,10
"a civil",5,6,1
"a civil rights",2,1,1
"a class",16,3,34
"a classic",22,2,17
"a classroom",6,1,2
"a clean",6,4,5
"a clear",36,5,10
"a clinic",6,1,3
"a close",28,6,19
"a close friend",5,1,1
"a closed",3,3,2
"a closer",15,1,3
"a club",6,3,11
"a clue",14,1,9
"a cluster",5,1,2
"a clutch",1,1,1
"a co",7,2,5
"a coach",5,4,5
"a coalition",5,2,1
"a cocktail",7,2,12
"a code",4,1,2
"a coincidence",2,1,5
"a cold",35,3,30
"a collection",21,2,4
"a collection of",19,2,2
"a collective",7,2,2
"a college",15,6,13
"a college student",3,1,2
"a color",15,2,7
"a colorful",5,1,1
"a combination",26,4,3
"a combination of",26,3,3
"a combined",3,4,1
"a come",2,2,3
"a comeback",3,2,11
"a command",5,1,1
"a commercial",6,2,10
"a commitment",8,2,1
"a commitment to",5,1,1
"a committed",2,2,1
"a committee",1,1,1
"a common",30,2,7
"a community",18,7,16
"a company",27,5,13
"a competition",4,1,7
"a competitive",6,4,5
"a complete",49,5,29
"a complex",13,1,5
"a complicated",5,2,1
"a compliment",2,1,7
"a complimentary",2,1,2
"a compromise",4,3,1
"a computer",18,7,23
"a concealed",1,1,1
"a concert",3,2,19
"a conference",11,9,11
"a conference call",1,3,2
"a conservative",7,5,2
"a constant",20,2,6
"a constitutional",2,2,4
"a constitutional amendment",1,1,1
"a construction",4,1,1
"a consumer",1,2,3
"a container",3,1,1
"a contender",1,1,3
"a contract",14,4,7
"a contractor",1,2,4
"a conversation",28,3,19
"a conversation with",13,1,6
"a convertible",1,1,1
"a cool",22,1,35
"a copy",48,3,37
"a copy of",31,1,25
"a corner",13,1,9
"a corporate",4,2,3
"a correct",2,1,2
"a cost",5,1,2
"a couch",5,1,3
"a country",31,2,20
"a country that",4,2,1
"a couple",453,34,157
"a couple hours",4,1,6
"a couple of",312,22,63
"a couple times",7,2,2
"a couple weeks",17,1,8
"a couple years",5,3,6
"a course",11,2,2
"a court",12,8,5
"a court of",2,1,1
"a cover",12,2,12
"a cozy",5,1,2
"a craft",8,1,3
"a crash",4,1,4
"a crate",2,1,1
"a crazy",18,2,31
"a creative",12,3,8
"a credit",3,3,4
"a crew",1,1,5
"a crime",25,6,3
"a criminal",14,2,2
"a crisis",10,1,4
"a crisp",6,2,2
"a critical",8,2,6
"a cross",18,1,5
"a crowd",9,2,2
"a crowded",3,2,2
"a crucial",5,2,1
"a cruise",6,1,3
"a culinary",1,1,2
"a cult",3,2,5
"a culture",7,3,2
"a culture of",2,2,1
"a cup",41,5,26
"a cup of",31,4,21
"a cure",6,1,3
"a curse",3,1,4
"a custom",5,1,6
"a customer",13,4,11
"a cut",5,1,4
"a cute",37,1,30
"a daily",20,3,7
"a daily basis",12,1,4
"a dallas",1,1,1
"a dancer",1,2,5
"a dangerous",12,2,8
"a dark",32,5,10
"a database",2,1,2
"a date",10,1,36
"a dating",3,1,2
"a daughter",13,3,6
"a day",190,31,183
"a day after",1,4,1
"a day and",11,1,10
"a day in",13,1,6
"a day of",14,2,16
"a day on",3,1,1
"a day the",2,1,3
"a day to",11,2,12
"a day when",2,1,4
"a day with",1,1,1
"a days",1,1,11
"a de",2,1,1
"a dead",14,3,14
"a dead body",1,1,1
"a dead end",3,1,1
"a deal",9,8,19
"a death",13,2,5
"a debate",2,2,6
"a decade",29,11,8
"a decade of",5,1,1
"a decent",41,1,23
"a decision",20,10,6
"a decision to",3,2,2
"a declaration",4,2,1
"a decrease",1,2,1
"a decrease in",1,1,1
"a dedicated",7,2,3
"a deep",54,4,6
"a deeper",5,1,1
"a defense",5,2,4
"a defensive",4,2,2
"a deficit",2,4,1
"a definitive",2,1,1
"a degree",15,4,3
"a degree in",2,2,1
"a delay",1,2,1
"a delivery",1,1,3
"a democrat",2,4,5
"a democratic",3,3,1
"a demonstration",3,1,1
"a dense",1,2,1
"a dental",2,3,3
"a designer",3,2,7
"a desire",6,2,1
"a desk",6,2,6
"a desk and",1,1,1
"a destination",2,2,2
"a detective",4,1,2
"a devastating",7,1,1
"a developer",1,1,2
"a diagnostic",1,2,1
"a diaper",2,1,2
"a diary",2,1,3
"a difference",42,7,49
"a difference between",5,1,9
"a difference in",7,1,5
"a difference with",1,1,1
"a different",151,25,60
"a different account",1,1,2
"a different person",2,2,1
"a different story",4,2,2
"a different time",3,1,1
"a different view",1,2,1
"a different way",6,1,2
"a difficult",23,2,4
"a digital",11,1,9
"a dinner",11,2,3
"a director",6,1,4
"a dirt",5,1,1
"a disappointment",1,1,1
"a disaster",13,1,8
"a discount",7,1,8
"a discussion",12,1,3
"a discussion with",2,1,1
"a dislike",1,1,2
"a disney",4,1,6
"a display",3,1,2
"a display of",2,1,2
"a distance",10,1,5
"a distinct",6,2,2
"a distributor",1,1,1
"a district",1,3,1
"a disturbing",1,2,1
"a diverse",3,2,3
"a division",3,2,4
"a divorce",3,1,3
"a dj",3,2,10
"a doc",1,2,3
"a doctor",27,3,9
"a doctor's",1,1,1
"a doctoral",1,1,1
"a documentary",6,2,6
"a dog",38,1,38
"a domestic",4,1,1
"a donation",6,1,3
"a dose",3,1,3
"a dose of",2,1,1
"a double",27,8,15
"a doubt",10,1,16
"a down",3,1,1
"a downward",1,1,1
"a dozen",29,9,6
"a dramatic",11,7,1
"a dream",39,2,75
"a dress",12,1,13
"a drink",23,1,43
"a drinking",1,2,2
"a drive",6,1,11
"a drive by",1,1,1
"a drop",8,2,5
"a drop in",3,1,1
"a drug",8,5,11
"a drug dealer",1,1,1
"a drum",6,2,4
"a dry",9,1,3
"a dual",3,1,2
"a duck",2,3,4
"a dynamic",3,2,2
"a fact",19,2,12
"a fact that",5,1,1
"a factor",3,1,2
"a fair",29,3,11
"a fairly",26,1,1
"a fairy",3,1,2
"a fairy tale",2,1,1
"a falling",2,1,1
"a family",91,15,29
"a family member",5,1,3
"a family of",12,1,3
"a fan",57,2,94
"a fantastic",36,2,36
"a fantastical",1,1,1
"a far",13,4,6
"a farm",13,4,4
"a farmer",3,1,2
"a fast",22,3,7
"a fast food",3,1,1
"a fast growing",2,1,1
"a fat",12,1,16
"a favorite",25,1,15
"a feature",8,2,1
"a federal",9,8,2
"a fee",2,2,6
"a feel",5,1,1
"a feeling",29,1,28
"a fellow",16,4,12
"a female",21,1,12
"a fence",2,1,1
"a fever",10,1,6
"a few",1155,82,415
"a few blocks",1,1,2
"a few bucks",2,2,1
"a few days",89,1,44
"a few different",7,3,1
"a few extra",2,1,2
"a few hours",34,5,20
"a few hundred",5,2,3
"a few minutes",57,7,18
"a few months",44,4,12
"a few more",50,3,27
"a few nights",1,1,2
"a few of",76,2,17
"a few pairs",2,1,1
"a few people",16,2,5
"a few seconds",11,2,2
"a few short",5,1,1
"a few times",47,1,11
"a few weeks",67,6,21
"a few years",52,9,17
"a field",12,5,8
"a field goal",1,1,2
"a fifth",2,1,3
"a fight",11,3,18
"a fighter",3,1,6
"a file",4,2,1
"a film",27,4,15
"a film by",1,1,1
"a final",17,6,10
"a financial",6,3,1
"a finding",4,1,1
"a fine",33,4,20
"a finger",7,2,1
"a fire",15,6,18
"a firm",6,2,5
"a first",29,14,18
"a first round",1,4,3
"a first time",3,1,1
"a fist",4,1,1
"a fist fight",1,1,1
"a fitting",3,1,4
"a five",13,14,5
"a five year",4,3,2
"a flat",16,1,8
"a flight",5,2,5
"a flip",2,2,4
"a flock",3,2,1
"a flood",2,1,3
"a flower",9,1,2
"a flying",1,1,3
"a food",22,5,14
"a football",5,5,7
"a football game",3,2,2
"a foreign",21,1,6
"a forest",3,1,4
"a fork",8,1,4
"a form",25,1,5
"a form of",20,1,1
"a former",29,24,10
"a fortune",5,1,8
"a forum",3,1,2
"a foster",1,1,1
"a foul",1,2,7
"a foundation",4,3,2
"a four",17,6,6
"a fourth",5,2,4
"a franchise",1,1,4
"a free",55,12,124
"a free agent",1,1,2
"a free society",2,1,1
"a freelance",6,1,1
"a frequent",3,3,2
"a fresh",29,2,20
"a freshman",1,4,6
"a friday",4,2,12
"a friend",131,8,117
"a friend's",11,3,6
"a friend and",7,1,3
"a friend for",7,1,2
"a friend of",25,2,13
"a friend who",8,2,6
"a friendly",18,1,6
"a friendship",3,2,1
"a front",9,1,3
"a full",129,12,57
"a full moon",3,1,4
"a full season",2,1,1
"a fuller",1,1,1
"a fully",7,2,3
"a fun",80,3,75
"a fun team",1,1,1
"a function",5,2,6
"a function of",4,2,5
"a functional",2,1,3
"a functioning",3,1,1
"a fundraiser",6,2,4
"a fundraiser for",1,1,2
"a funny",24,1,16
"a future",24,5,12
"a gallery",5,1,3
"a gallon",6,4,7
"a game",42,16,85
"a game a",1,1,1
"a game for",1,1,2
"a game of",10,1,6
"a garden",17,2,5
"a gas",4,3,7
"a gas station",3,1,2
"a gay",6,1,15
"a general",20,2,3
"a generation",10,3,2
"a gentle",7,2,4
"a genuine",16,1,1
"a get",1,1,8
"a ghost",8,1,8
"a giant",30,6,20
"a gift",46,5,37
"a gift from",9,1,5
"a gift to",2,1,2
"a girl",80,1,127
"a given",14,3,4
"a glass",32,1,33
"a glass of",16,1,22
"a glimpse",20,4,4
"a glimpse of",13,3,3
"a global",11,3,4
"a go",19,1,13
"a goal",18,5,16
"a goal to",3,1,1
"a god",21,1,14
"a gold",9,3,4
"a golf",3,1,3
"a good",658,68,888
"a good and",2,2,2
"a good cause",4,2,3
"a good chance",1,1,2
"a good day",8,2,96
"a good enough",2,2,1
"a good example",7,1,4
"a good first",2,1,2
"a good guy",3,1,11
"a good idea",31,5,40
"a good job",16,2,10
"a good looking",1,2,1
"a good man",2,1,6
"a good place",10,1,10
"a good reason",2,1,4
"a good reminder",2,1,1
"a good sign",6,1,8
"a good start",5,1,9
"a good story",5,1,2
"a good team",1,1,3
"a good thing",58,2,36
"a good time",22,3,55
"a good year",1,1,3
"a google",7,1,5
"a gorilla",1,1,1
"a government",12,2,2
"a grade",3,1,3
"a grammy",1,1,2
"a grand",16,5,8
"a grand slam",2,1,1
"a gray",2,1,3
"a great",515,41,1120
"a great deal",44,3,9
"a great experience",1,2,7
"a great feeling",3,1,4
"a great leader",3,1,1
"a great place",10,1,12
"a great story",4,1,4
"a great thing",1,1,5
"a great time",22,1,94
"a great way",35,1,12
"a greater",22,4,3
"a greek",8,1,2
"a green",12,4,12
"a greeting",2,1,2
"a greyhound",1,1,3
"a grilled",1,1,4
"a group",82,17,21
"a group called",3,2,1
"a group in",1,1,1
"a group of",60,8,6
"a group that",1,1,1
"a growing",9,4,2
"a growing number",1,1,2
"a guarantee",1,2,1
"a guest",17,4,20
"a guitar",3,4,5
"a gun",24,8,18
"a gun and",3,1,2
"a guy",42,7,87
"a guy in",2,2,4
"a guy to",1,1,2
"a half",112,18,64
"a half ago",3,1,1
"a half hours",9,1,1
"a hall",5,1,4
"a hallway",4,1,1
"a halt",4,1,1
"a hand",16,1,9
"a handful",32,8,7
"a handful of",31,8,5
"a handle",3,2,1
"a handle on",2,2,1
"a handmade",3,1,2
"a happy",49,1,84
"a happy ending",5,1,2
"a hard",66,13,37
"a hard time",27,4,14
"a hardware",2,1,1
"a harsh",3,1,2
"a harvard",1,1,1
"a hate",3,1,1
"a head",15,4,5
"a head start",1,2,1
"a headache",3,2,21
"a health",5,6,2
"a healthy",30,9,15
"a hearing",3,5,2
"a heart",35,3,30
"a heart attack",5,2,11
"a heat",4,1,8
"a heavy",12,2,11
"a heel",1,1,2
"a helicopter",5,1,6
"a helmet",2,1,3
"a herd",2,1,1
"a herd of",2,1,1
"a hero",15,2,2
"a heroic",3,1,1
"a high",67,17,37
"a high level",6,1,1
"a high school",7,5,1
"a high tech",1,1,1
"a higher",23,5,7
"a highly",12,4,5
"a hill",10,2,2
"a hint",20,3,15
"a hint of",16,2,3
"a hip",3,1,1
"a hip hop",2,1,1
"a historian",2,1,1
"a historic",2,4,2
"a history",9,2,9
"a hit",8,3,26
"a holding",2,2,1
"a holding pattern",1,1,1
"a hole",18,1,20
"a hole in",11,1,4
"a hollywood",1,1,2
"a holy",5,1,1
"a home",45,10,31
"a home in",4,2,1
"a home run",1,1,8
"a homemade",1,1,1
"a hoot",2,1,4
"a horror",5,1,2
"a horror movie",1,1,2
"a horse",22,2,20
"a hospital",13,5,4
"a hostage",1,1,2
"a hot",34,6,53
"a hot day",1,2,1
"a hot topic",1,1,2
"a hotel",16,3,12
"a hotel room",2,1,2
"a house",34,6,31
"a house and",1,1,1
"a house with",4,1,1
"a huge",171,21,134
"a huge part",3,1,2
"a human",22,2,21
"a human being",4,1,2
"a hundred",36,1,15
"a hungry",1,1,2
"a hurricane",2,1,3
"a i",8,3,14
"a jerk",2,2,20
"a jew",3,1,5
"a jewish",5,1,3
"a job",92,7,103
"a job and",10,1,3
"a job at",2,1,2
"a job i",6,1,3
"a job in",7,2,5
"a joint",4,1,7
"a joke",22,4,64
"a jolly",2,1,1
"a journal",6,1,2
"a journalist",11,1,3
"a journey",9,1,5
"a judge",11,4,5
"a judgment",4,1,2
"a junior",7,5,2
"a jury",4,3,3
"a just",7,1,5
"a key",24,10,10
"a key component",1,1,1
"a kid",65,7,42
"a kid and",5,1,2
"a kid in",4,1,1
"a kids",3,1,1
"a kind",58,8,12
"a kind of",36,3,5
